Bit Depth (m),CSG 0.15 OPH 0.15,CSG 0.15 OPH 0.2 (kN.m),CSG 0.15 OPH 0.25 (kN.m),CSG 0.15 OPH 0.3 (kN.m),CSG 0.15 OPH 0.35 (kN.m)
0,0,0,0,0,0
100,0,0,0,0,0
200,0,0,0,0,0
300,0,0,0,0,0
400,0,0,0,0,0
500,0,0,0,0,0
600,0,0,0,0,0
700,0,0,0,0,0
800,12.2,16.3,20.4,24.5,28.6
900,62.9,83.8,104.8,125.8,146.7
"1,000.00",121.4,161.9,202.3,242.8,283.2
"1,100.00",178.2,237.6,296.9,356.3,415.7
"1,200.00",238.7,318.2,397.8,477.3,556.9
"1,300.00",331.1,441.5,551.8,662.2,772.6
"1,400.00",394.5,526,657.5,789,920.4
"1,500.00",453.6,604.7,755.9,907.1,"1,058.30"
"1,600.00",513.6,684.8,856,"1,027.10","1,198.30"
"1,700.00",591.9,789.1,986.4,"1,183.70","1,381.00"
"1,800.00",647.8,863.8,"1,079.70","1,295.60","1,511.60"
"1,900.00",786,"1,048.00","1,310.10","1,572.10","1,834.10"
"2,000.00",954.3,"1,272.40","1,590.50","1,908.60","2,226.70"
"2,100.00","1,118.40","1,491.20","1,864.00","2,236.80","2,609.50"
"2,200.00","1,276.90","1,702.50","2,128.10","2,553.80","2,979.40"
"2,300.00","1,469.10","1,958.90","2,448.60","2,938.30","3,428.00"
"2,400.00","1,636.90","2,182.60","2,728.20","3,273.90","3,819.50"
"2,500.00","1,828.40","2,437.80","3,047.30","3,656.70","4,266.20"
"2,600.00","2,036.90","2,715.90","3,394.90","4,073.80","4,752.80"
"2,700.00","2,241.10","2,988.10","3,735.10","4,482.10","5,229.20"
"2,800.00","2,413.30","3,217.70","4,022.10","4,826.50","5,630.90"
"2,900.00","2,625.80","3,501.10","4,376.40","5,251.70","6,126.90"
"3,000.00","2,806.40","3,741.90","4,677.30","5,612.80","6,548.20"
"3,100.00","3,011.90","4,015.80","5,019.80","6,023.70","7,027.70"
"3,200.00","3,206.60","4,275.50","5,344.40","6,413.20","7,482.10"
"3,300.00","3,402.50","4,536.70","5,670.80","6,805.00","7,939.20"
"3,400.00","3,600.20","4,800.30","6,000.40","7,200.40","8,400.50"
"3,500.00","3,799.50","5,066.00","6,332.50","7,599.00","8,865.50"
"3,600.00","3,999.70","5,333.00","6,666.20","7,999.50","9,332.70"
"3,700.00","4,200.80","5,601.10","7,001.30","8,401.60","9,801.80"
"3,800.00","4,403.00","5,870.70","7,338.40","8,806.10","10,273.70"
"3,900.00","4,603.30","6,137.70","7,672.10","9,206.60","10,741.00"
"4,000.00","4,821.90","6,429.10","8,036.40","9,643.70","11,251.00"
"4,100.00","5,094.50","6,792.60","8,490.80","10,188.90","11,887.10"
"4,200.00","5,377.00","7,169.40","8,961.70","10,754.10","12,546.40"
"4,300.00","5,661.80","7,549.00","9,436.30","11,323.50","13,210.80"
"4,400.00","5,929.70","7,906.30","9,882.90","11,859.50","13,836.00"
"4,500.00","6,145.70","8,194.30","10,242.90","12,291.40","14,340.00"
"4,600.00","6,351.50","8,468.70","10,585.80","12,703.00","14,820.20"
"4,700.00","6,546.30","8,728.40","10,910.50","13,092.60","15,274.70"
"4,800.00","6,761.80","9,015.80","11,269.70","13,523.70","15,777.60"
"4,900.00","6,946.80","9,262.40","11,578.00","13,893.70","16,209.30"
"4,920.49","6,995.00","9,326.70","11,658.30","13,990.00","16,321.70"
